date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:07	71465/71465	---M-Z	200	added ('OK')	text/html	etag:%2211729-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-format-standard.html	papr/papr/axilthemes.com/demo/template/papr/post-format-standard.html	(from http://axilthemes.com/demo/template/papr/)
10:31:09	71493/71493	---M-Z	200	added ('OK')	text/html	etag:%2211745-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-format-video.html	papr/papr/axilthemes.com/demo/template/papr/post-format-video.html	(from http://axilthemes.com/demo/template/papr/)
10:31:09	65766/65766	---M-Z	200	added ('OK')	text/html	etag:%22100e6-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-format-audio.html	papr/papr/axilthemes.com/demo/template/papr/post-format-audio.html	(from http://axilthemes.com/demo/template/papr/)
10:31:10	70962/70962	---M-Z	200	added ('OK')	text/html	etag:%2211532-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-format-gallery.html	papr/papr/axilthemes.com/demo/template/papr/post-format-gallery.html	(from http://axilthemes.com/demo/template/papr/)
10:31:11	70947/70947	---M-Z	200	added ('OK')	text/html	etag:%2211523-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-format-quote.html	papr/papr/axilthemes.com/demo/template/papr/post-format-quote.html	(from http://axilthemes.com/demo/template/papr/)
10:31:12	112050/112050	---M-Z	200	added ('OK')	text/html	etag:%221b5b2-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-format-text-only.html	papr/papr/axilthemes.com/demo/template/papr/post-format-text-only.html	(from http://axilthemes.com/demo/template/papr/)
10:31:13	50188/50188	---M-Z	200	added ('OK')	text/html	etag:%22c40c-58ee19fd9264d-gzip%22	http://axilthemes.com/demo/template/papr/author.html	papr/papr/axilthemes.com/demo/template/papr/author.html	(from http://axilthemes.com/demo/template/papr/)
10:31:14	29292/29292	---M-Z	200	added ('OK')	text/html	etag:%22726c-58ee1590db0af-gzip%22	http://axilthemes.com/demo/template/papr/error-404.html	papr/papr/axilthemes.com/demo/template/papr/error-404.html	(from http://axilthemes.com/demo/template/papr/)
10:31:15	9397/9397	---M-Z	200	added ('OK')	text/html	etag:%2224b5-58ed0fc7ab192-gzip%22	http://axilthemes.com/demo/template/papr/under-construction.html	papr/papr/axilthemes.com/demo/template/papr/under-construction.html	(from http://axilthemes.com/demo/template/papr/)
10:31:16	29321/29321	---M-Z	200	added ('OK')	text/html	etag:%227289-58ed0fc7ab192-gzip%22	http://axilthemes.com/demo/template/papr/team.html	papr/papr/axilthemes.com/demo/template/papr/team.html	(from http://axilthemes.com/demo/template/papr/)
10:31:25	32217/32217	---M--	200	added ('OK')	image/jpeg	etag:%227dd9-58e555fc86031%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-18.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-18.jpg	(from http://axilthemes.com/demo/template/papr/)
10:31:33	37417/37417	---M--	200	added ('OK')	image/jpeg	etag:%229229-58e555fc86031%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-21.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-21.jpg	(from http://axilthemes.com/demo/template/papr/)
10:31:34	75033/75033	---M--	200	added ('OK')	image/jpeg	etag:%2212519-58e555fc86031%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-20.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-20.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:03	154909/154909	---M--	200	added ('OK')	image/jpeg	etag:%2225d1d-58e6902a02a08%22	http://axilthemes.com/demo/template/papr/assets/images/top-stories/top-stories-2.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/top-stories/top-stories-2.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:13	351723/351723	---M--	200	added ('OK')	image/jpeg	etag:%2255deb-58e555fc86031%22	http://axilthemes.com/demo/template/papr/assets/images/post/latest-post.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/latest-post.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:23	44528/44528	---M--	200	added ('OK')	image/jpeg	etag:%22adf0-58e7dbcdaebed%22	http://axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-1.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-1.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:26	383306/383306	---M--	200	added ('OK')	image/jpeg	etag:%225d94a-58e555fc86031%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-19.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-19.jpg	(from http://axilthemes.com/demo/template/papr/)
